Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q2,Livermore,Cerium-144,0.000118,0.000169,0.000551,0,20
2012Q2,San Luis Obispo,Beryllium-7,0.0645,0.000191,0.00343,0.0001075,30000
2012Q2,San Luis Obispo,Potassium-40,0.000601,0.000683,0.00318,0,600
2012Q2,San Luis Obispo,Niobium-95,0.000079,0.000125,0.000374,0,2000
2012Q2,San Luis Obispo,Zirconium-95,0.000321,0.000173,0.000353,0,400
2012Q2,San Luis Obispo,Ruthenium-103,-0.000029,0.000102,0.00027,0,900
2012Q2,San Luis Obispo,Ruthenium-106,-0.000113,0.00044,0.00112,0,20
2012Q2,San Luis Obispo,Cesium-137,0.0000499,0.0000446,0.000119,0,200
2012Q2,San Luis Obispo,Cerium-141,0,0,0,0,800
2012Q2,San Luis Obispo,Cerium-144,-0.000286,0.000197,0.000581,0,20
2012Q2,Diablo Canyon,Beryllium-7,0.0616,0.00192,0.00364,0.000102667,30000
2012Q2,Diablo Canyon,Potassium-40,-0.00138,0.000716,0.00343,0,600
2012Q2,Diablo Canyon,Niobium-95,-0.0000515,0.000146,0.000401,0,2000
2012Q2,Diablo Canyon,Zirconium-95,-0.0000676,0.000192,0.000399,0,400
2012Q2,Diablo Canyon,Ruthenium-103,-0.000106,0.000121,0.000324,0,900
2012Q2,Diablo Canyon,Ruthenium-106,0.000729,0.000414,0.00124,0,20
2012Q2,Diablo Canyon,Cesium-137,0.0000884,0.000042,0.000129,0,200
2012Q2,Diablo Canyon,Cerium-141,0.000262,0.000159,0.000526,0,800
2012Q2,Diablo Canyon,Cerium-144,-0.000271,0.000216,0.000673,0,20
2012Q2,San Onofre,Beryllium-7,0,0,0,0,30000
2012Q2,San Onofre,Potassium-40,0,0,0,0,600
2012Q2,San Onofre,Niobium-95,0,0,0,0,2000
2012Q2,San Onofre,Zirconium-95,0,0,0,0,400
2012Q2,San Onofre,Ruthenium-103,0,0,0,0,900
2012Q2,San Onofre,Ruthenium-106,0,0,0,0,20
2012Q2,San Onofre,Cesium-137,0,0,0,0,200
2012Q2,San Onofre,Cerium-141,0,0,0,0,800
2012Q2,San Onofre,Cerium-144,0,0,0,0,20
2012Q2,San Diego,Beryllium-7,0.0846,0.00237,0.00302,0.000141,30000
2012Q2,San Diego,Potassium-40,0.0000138,0.000632,0.00297,0,600
2012Q2,San Diego,Niobium-95,0.000171,0.000123,0.000352,0,2000
2012Q2,San Diego,Zirconium-95,0.000304,0.000156,0.000339,0,400
2012Q2,San Diego,Ruthenium-103,-0.0000385,0.0000981,0.000269,0,900
